                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
60,1.1361,0.74834,0.91601,0.55144,0.42121,0.49195,0.29173,1.0998,0.75207,0.90215,0.008053,0.008053,0.008053
61,1.1383,0.74194,0.91619,0.54316,0.42655,0.49084,0.28949,1.1003,0.75235,0.90204,0.00802,0.00802,0.00802
62,1.126,0.73203,0.91454,0.55219,0.41858,0.48923,0.29032,1.0982,0.75425,0.90087,0.007987,0.007987,0.007987
63,1.1279,0.73046,0.91288,0.55049,0.42739,0.4915,0.2918,1.0969,0.74865,0.90045,0.007954,0.007954,0.007954
64,1.1274,0.73487,0.91461,0.55908,0.42457,0.49317,0.29243,1.0941,0.74975,0.89887,0.007921,0.007921,0.007921
65,1.1256,0.72795,0.91226,0.54811,0.42534,0.49042,0.29177,1.0947,0.7516,0.89963,0.007888,0.007888,0.007888
66,1.1197,0.72463,0.91256,0.54841,0.42527,0.49094,0.29158,1.0939,0.75101,0.90027,0.007855,0.007855,0.007855
67,1.1258,0.72415,0.91458,0.56267,0.42663,0.4931,0.29327,1.0918,0.74818,0.89978,0.007822,0.007822,0.007822
68,1.1232,0.72014,0.91188,0.55856,0.42445,0.49549,0.29367,1.0936,0.74636,0.89952,0.007789,0.007789,0.007789
69,1.116,0.7175,0.91015,0.55701,0.42746,0.49466,0.29416,1.0912,0.74783,0.89866,0.007756,0.007756,0.007756
70,1.1131,0.71412,0.90853,0.56117,0.42579,0.49674,0.29525,1.0892,0.74489,0.89852,0.007723,0.007723,0.007723
71,1.1139,0.71196,0.90808,0.5565,0.42958,0.49723,0.29615,1.0901,0.74355,0.89821,0.00769,0.00769,0.00769
72,1.1104,0.7099,0.90898,0.54698,0.43511,0.49852,0.29598,1.0905,0.74198,0.8982,0.007657,0.007657,0.007657
73,1.106,0.70547,0.90741,0.55403,0.43326,0.49804,0.29511,1.0886,0.74022,0.89768,0.007624,0.007624,0.007624
