                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                 1.1016,                 1.3129,                 1.2182,                0.56987,                0.38565,                0.40891,                0.27822,                    nan,                    nan,                    nan,              0.0072478,              0.0072478,              0.0072478
                    141,                 1.1008,                 1.3062,                 1.2172,                0.56991,                0.38525,                 0.4088,                0.27805,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                    142,                 1.1003,                 1.3079,                 1.2171,                0.57108,                0.38614,                0.40934,                0.27816,                    nan,                    nan,                    nan,              0.0072082,              0.0072082,              0.0072082
                    143,                 1.1021,                 1.3033,                 1.2171,                0.56026,                0.38809,                0.40967,                0.27832,                    nan,                    nan,                    nan,              0.0071884,              0.0071884,              0.0071884
                    144,                 1.0979,                 1.3069,                 1.2157,                0.55844,                0.39081,                0.40956,                0.27826,                    nan,                    nan,                    nan,              0.0071686,              0.0071686,              0.0071686
                    145,                 1.0977,                  1.299,                 1.2149,                0.55923,                0.39351,                0.40984,                0.27872,                    nan,                    nan,                    nan,              0.0071488,              0.0071488,              0.0071488
                    146,                 1.0969,                 1.3025,                  1.214,                0.55928,                0.39252,                0.40997,                 0.2784,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                    147,                 1.0973,                 1.3016,                 1.2152,                0.55998,                0.39112,                0.40937,                0.27852,                    nan,                    nan,                    nan,              0.0071092,              0.0071092,              0.0071092
                    148,                 1.0959,                 1.2952,                 1.2143,                0.55674,                0.39276,                0.40958,                 0.2785,                    nan,                    nan,                    nan,              0.0070894,              0.0070894,              0.0070894
                    149,                 1.0947,                 1.2931,                 1.2124,                0.56078,                0.39107,                0.40984,                0.27861,                    nan,                    nan,                    nan,              0.0070696,              0.0070696,              0.0070696
                    150,                 1.0953,                 1.2939,                  1.213,                 0.5572,                0.39212,                   0.41,                0.27826,                    nan,                    nan,                    nan,              0.0070498,              0.0070498,              0.0070498
                    151,                 1.0957,                 1.2913,                 1.2119,                0.55476,                0.39296,                 0.4104,                0.27862,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                    152,                 1.0932,                 1.2875,                 1.2106,                0.55409,                0.39444,                0.41068,                0.27883,                    nan,                    nan,                    nan,              0.0070102,              0.0070102,              0.0070102
                    153,                 1.0922,                 1.2882,                 1.2115,                0.55027,                0.39345,                0.41058,                0.27876,                    nan,                    nan,                    nan,              0.0069904,              0.0069904,              0.0069904
                    154,                 1.0938,                 1.2859,                 1.2102,                0.54891,                  0.392,                0.41025,                0.27868,                    nan,                    nan,                    nan,              0.0069706,              0.0069706,              0.0069706
                    155,                 1.0932,                 1.2886,                 1.2098,                0.55481,                0.38833,                0.41017,                0.27865,                    nan,                    nan,                    nan,              0.0069508,              0.0069508,              0.0069508
                    156,                  1.091,                 1.2843,                 1.2091,                0.55206,                0.38901,                0.41038,                0.27866,                    nan,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                    157,                 1.0893,                 1.2834,                 1.2083,                0.55412,                0.38799,                0.41062,                0.27875,                    nan,                    nan,                    nan,              0.0069112,              0.0069112,              0.0069112
                    158,                 1.0901,                  1.279,                  1.208,                0.55755,                0.38642,                0.41032,                0.27885,                    nan,                    nan,                    nan,              0.0068914,              0.0068914,              0.0068914
