                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
124,1.2707,0.87007,1.0281,0.58128,0.47754,0.50211,0.31169,1.2522,0.88227,1.0278,0.0069558,0.0069558,0.0069558
125,1.2748,0.87305,1.0286,0.58359,0.47605,0.50245,0.31204,1.2523,0.88195,1.0278,0.006931,0.006931,0.006931
126,1.2675,0.8669,1.0271,0.58741,0.47683,0.50343,0.31214,1.2519,0.88127,1.0275,0.0069063,0.0069063,0.0069063
127,1.2666,0.8664,1.0273,0.58673,0.4782,0.50317,0.31223,1.2521,0.88097,1.0274,0.0068815,0.0068815,0.0068815
128,1.2651,0.86752,1.0276,0.5894,0.47647,0.50329,0.31249,1.2518,0.88099,1.0273,0.0068568,0.0068568,0.0068568
129,1.2677,0.86765,1.0243,0.58475,0.47789,0.50357,0.31332,1.2513,0.88046,1.0271,0.006832,0.006832,0.006832
130,1.2645,0.86279,1.0249,0.58374,0.4784,0.50397,0.31334,1.2514,0.88015,1.0269,0.0068073,0.0068073,0.0068073
131,1.2632,0.85794,1.0251,0.58325,0.47916,0.50453,0.31368,1.2513,0.87958,1.0268,0.0067825,0.0067825,0.0067825
132,1.2617,0.85823,1.0264,0.57998,0.48269,0.50533,0.31436,1.2507,0.87881,1.0266,0.0067577,0.0067577,0.0067577
133,1.2587,0.85489,1.0231,0.58255,0.4804,0.50557,0.31427,1.2504,0.87774,1.0265,0.006733,0.006733,0.006733
134,1.2627,0.85516,1.0245,0.58755,0.47845,0.50607,0.31438,1.2501,0.87752,1.0265,0.0067082,0.0067082,0.0067082
135,1.258,0.85147,1.0254,0.59321,0.47484,0.50639,0.31469,1.2494,0.87707,1.0262,0.0066835,0.0066835,0.0066835
136,1.2608,0.85414,1.0219,0.59376,0.47697,0.50663,0.3148,1.2491,0.87661,1.026,0.0066587,0.0066587,0.0066587
137,1.2625,0.85332,1.0239,0.59672,0.47681,0.50662,0.31447,1.2485,0.87625,1.0257,0.006634,0.006634,0.006634
138,1.2613,0.85293,1.0238,0.59713,0.47619,0.50646,0.31447,1.2483,0.87609,1.0256,0.0066092,0.0066092,0.0066092
139,1.262,0.85218,1.0223,0.59292,0.47869,0.50674,0.31442,1.2482,0.87597,1.0256,0.0065845,0.0065845,0.0065845
140,1.2581,0.84753,1.0215,0.59289,0.47916,0.50656,0.31403,1.2479,0.87553,1.0255,0.0065598,0.0065598,0.0065598
141,1.2581,0.84928,1.0209,0.59157,0.47885,0.50622,0.31367,1.2481,0.87562,1.0255,0.006535,0.006535,0.006535
